fib_L,0 1280,18446744073709551615 998720,1722022690 433803,18446744071987528925 566197
fib_L,0 1311,18446744073709551615 998689,1722022690 434010,18446744071987528925 565990
fib_L,0 1330,18446744073709551615 998670,1722022690 434220,18446744071987528925 565780
fib_L,0 1354,18446744073709551615 998646,1722022690 434418,18446744071987528925 565582
fib_L,0 1376,18446744073709551615 998624,1722022690 434762,18446744071987528925 565238
fib_L,0 1376,0 19,1722022690 434762,0 80
fib_R,0 1416,18446744073709551615 998584,1722022690 434916,18446744071987528925 565084
fib_R,0 1416,0 22,1722022690 434916,0 71
fib_L,0 1354,0 103,1722022690 434418,0 640
fib_R,0 1476,18446744073709551615 998524,1722022690 435126,18446744071987528925 564874
fib_R,0 1476,0 22,1722022690 435126,0 70
fib_L,0 1330,0 187,1722022690 434220,0 1044
fib_R,0 1538,18446744073709551615 998462,1722022690 435336,18446744071987528925 564664
fib_L,0 1557,18446744073709551615 998443,1722022690 435406,18446744071987528925 564594
fib_L,0 1557,0 19,1722022690 435406,0 72
fib_R,0 1596,18446744073709551615 998404,1722022690 435547,18446744071987528925 564453
fib_R,0 1596,0 19,1722022690 435547,0 69
fib_R,0 1538,0 98,1722022690 435336,0 350
fib_L,0 1311,0 345,1722022690 434010,0 1743
fib_R,0 1676,18446744073709551615 998324,1722022690 435833,18446744071987528925 564167
fib_L,0 1696,18446744073709551615 998304,1722022690 435901,18446744071987528925 564099
fib_L,0 1715,18446744073709551615 998285,1722022690 435970,18446744071987528925 564030
fib_L,0 1715,0 19,1722022690 435970,0 67
fib_R,0 1754,18446744073709551615 998246,1722022690 436104,18446744071987528925 563896
fib_R,0 1754,0 19,1722022690 436104,0 72
fib_L,0 1696,0 100,1722022690 435901,0 348
fib_R,0 1815,18446744073709551615 998185,1722022690 436318,18446744071987528925 563682
fib_R,0 1815,0 19,1722022690 436318,0 66
fib_R,0 1676,0 178,1722022690 435833,0 620
fib_L,0 1280,0 593,1722022690 433803,0 2718
